locator,folio_id,hand,reason
"f69r.17,&L0;H",f69r,,hand label is blank
"f69r.18,&L0;H",f69r,,hand label is blank
"f69r.19,&L0;H",f69r,,hand label is blank
"f69r.20,&L0;H",f69r,,hand label is blank
"f69r.5,@L0;H",f69r,,hand label is blank
"f69r.6,&L0;H",f69r,,hand label is blank
"f69r.7,&L0;H",f69r,,hand label is blank
"f69r.8,&L0;H",f69r,,hand label is blank
"f69r.9,&L0;H",f69r,,hand label is blank
"f69r.10,&L0;H",f69r,,hand label is blank
"f69r.30,@Ro;H",f69r,,hand label is blank
"f69r.31,@Ro;H",f69r,,hand label is blank
"f69r.32,@Ro;H",f69r,,hand label is blank
"f69r.33,@Ro;H",f69r,,hand label is blank
"f69r.34,@Ro;H",f69r,,hand label is blank
"f69r.35,@Ro;H",f69r,,hand label is blank
"f69r.36,@Ro;H",f69r,,hand label is blank
"f69r.37,@Ro;H",f69r,,hand label is blank
"f69r.38,@Ro;H",f69r,,hand label is blank
"f69r.39,@Ro;H",f69r,,hand label is blank
"f69r.40,@Ro;H",f69r,,hand label is blank
"f69r.41,@Ro;H",f69r,,hand label is blank
"f69r.42,@Ro;H",f69r,,hand label is blank
"f69r.21,@Ro;H",f69r,,hand label is blank
"f69r.22,@Ro;H",f69r,,hand label is blank
"f69r.23,@Ro;H",f69r,,hand label is blank
"f69r.24,@Ro;H",f69r,,hand label is blank
"f69r.25,@Ro;H",f69r,,hand label is blank
"f69r.26,@Ro;H",f69r,,hand label is blank
"f69r.27,@Ro;H",f69r,,hand label is blank
"f69r.28,@Ro;H",f69r,,hand label is blank
"f69r.29,@Ro;H",f69r,,hand label is blank
"f69r.43,@Cc;H",f69r,,hand label is blank
"f69r.45,@L0;H",f69r,,hand label is blank
"f69r.46,@L0;H",f69r,,hand label is blank
"f69r.47,@L0;H",f69r,,hand label is blank
"f69r.48,@L0;H",f69r,,hand label is blank
"f69r.49,@L0;H",f69r,,hand label is blank
"f69r.44,@L0;H",f69r,,hand label is blank
"f69v.1,@Cc;H",f69v,,hand label is blank
