hand,token,count,share
1,shan,5,0.0006874742197167606
1,shckhy,5,0.0006874742197167606
1,sheol,5,0.0006874742197167606
1,shoiin,5,0.0006874742197167606
1,shokchy,5,0.0006874742197167606
1,shory,5,0.0006874742197167606
1,shos,5,0.0006874742197167606
1,sos,5,0.0006874742197167606
1,tchody,5,0.0006874742197167606
1,ycheor,5,0.0006874742197167606
1,ykcho,5,0.0006874742197167606
1,ykchor,5,0.0006874742197167606
1,ykeol,5,0.0006874742197167606
1,ykor,5,0.0006874742197167606
1,ytal,5,0.0006874742197167606
1,cfhol,4,0.0005499793757734085
1,chcphy,4,0.0005499793757734085
1,chkeey,4,0.0005499793757734085
1,chochy,4,0.0005499793757734085
1,chockhy,4,0.0005499793757734085
1,chod,4,0.0005499793757734085
1,chokchol,4,0.0005499793757734085
1,choldy,4,0.0005499793757734085
1,cth,4,0.0005499793757734085
1,cthain,4,0.0005499793757734085
1,ctheey,4,0.0005499793757734085
1,cthod,4,0.0005499793757734085
1,da,4,0.0005499793757734085
1,daim,4,0.0005499793757734085
1,dchaiin,4,0.0005499793757734085
1,dchar,4,0.0005499793757734085
1,dcheey,4,0.0005499793757734085
1,dcho,4,0.0005499793757734085
1,dshey,4,0.0005499793757734085
1,kcheol,4,0.0005499793757734085
1,keor,4,0.0005499793757734085
1,kshy,4,0.0005499793757734085
1,od,4,0.0005499793757734085
1,oeees,4,0.0005499793757734085
1,okain,4,0.0005499793757734085
1,okar,4,0.0005499793757734085
1,okcho,4,0.0005499793757734085
1,om,4,0.0005499793757734085
1,otoldy,4,0.0005499793757734085
1,otshy,4,0.0005499793757734085
1,qocthy,4,0.0005499793757734085
1,qod,4,0.0005499793757734085
1,qody,4,0.0005499793757734085
1,qokeol,4,0.0005499793757734085
1,qokoiin,4,0.0005499793757734085
1,qokshy,4,0.0005499793757734085
1,qotshy,4,0.0005499793757734085
1,qoy,4,0.0005499793757734085
1,shain,4,0.0005499793757734085
1,shcthy,4,0.0005499793757734085
1,sheky,4,0.0005499793757734085
1,shod,4,0.0005499793757734085
1,sody,4,0.0005499793757734085
1,tcheey,4,0.0005499793757734085
1,tsho,4,0.0005499793757734085
1,tshol,4,0.0005499793757734085
1,tshy,4,0.0005499793757734085
1,ychey,4,0.0005499793757734085
1,ycho,4,0.0005499793757734085
1,ychy,4,0.0005499793757734085
1,ykchol,4,0.0005499793757734085
1,ytchey,4,0.0005499793757734085
1,ytoldy,4,0.0005499793757734085
1,chary,3,0.00041248453183005636
1,chckhey,3,0.00041248453183005636
1,chcth,3,0.00041248453183005636
1,cheeky,3,0.00041248453183005636
1,chky,3,0.00041248453183005636
1,chocthey,3,0.00041248453183005636
1,chodain,3,0.00041248453183005636
1,chodaly,3,0.00041248453183005636
1,chodar,3,0.00041248453183005636
1,chok,3,0.00041248453183005636
1,chokain,3,0.00041248453183005636
1,chokeey,3,0.00041248453183005636
1,chokeody,3,0.00041248453183005636
1,chokor,3,0.00041248453183005636
1,chot,3,0.00041248453183005636
1,chotchey,3,0.00041248453183005636
1,chotor,3,0.00041248453183005636
1,chr,3,0.00041248453183005636
1,chs,3,0.00041248453183005636
1,chyty,3,0.00041248453183005636
1,ckhaiin,3,0.00041248453183005636
1,ckham,3,0.00041248453183005636
1,ckhody,3,0.00041248453183005636
1,cphar,3,0.00041248453183005636
1,cphey,3,0.00041248453183005636
1,ctheol,3,0.00041248453183005636
1,ctholy,3,0.00041248453183005636
1,daiidy,3,0.00041248453183005636
1,dais,3,0.00041248453183005636
1,daldy,3,0.00041248453183005636
1,dchckhy,3,0.00041248453183005636
1,dchokchy,3,0.00041248453183005636
1,deey,3,0.00041248453183005636
1,dl,3,0.00041248453183005636
1,dody,3,0.00041248453183005636
1,doiir,3,0.00041248453183005636
1,ds,3,0.00041248453183005636
1,e,3,0.00041248453183005636
1,ety,3,0.00041248453183005636
1,fchol,3,0.00041248453183005636
1,kchaiin,3,0.00041248453183005636
1,kcheey,3,0.00041248453183005636
1,kchod,3,0.00041248453183005636
1,kchos,3,0.00041248453183005636
1,keeey,3,0.00041248453183005636
1,keeor,3,0.00041248453183005636
1,koiin,3,0.00041248453183005636
1,ksheo,3,0.00041248453183005636
1,kshey,3,0.00041248453183005636
1,kshody,3,0.00041248453183005636
1,ldy,3,0.00041248453183005636
1,lol,3,0.00041248453183005636
1,m,3,0.00041248453183005636
1,n,3,0.00041248453183005636
1,ocho,3,0.00041248453183005636
1,ochy,3,0.00041248453183005636
1,odal,3,0.00041248453183005636
1,odar,3,0.00041248453183005636
1,oees,3,0.00041248453183005636
1,okaiir,3,0.00041248453183005636
1,okam,3,0.00041248453183005636
1,okchal,3,0.00041248453183005636
1,okchar,3,0.00041248453183005636
1,okeom,3,0.00041248453183005636
1,okey,3,0.00041248453183005636
1,okoiin,3,0.00041248453183005636
1,okom,3,0.00041248453183005636
1,okoy,3,0.00041248453183005636
1,oksho,3,0.00041248453183005636
1,oldaiin,3,0.00041248453183005636
1,olor,3,0.00041248453183005636
1,ols,3,0.00041248453183005636
1,opchey,3,0.00041248453183005636
1,opchor,3,0.00041248453183005636
1,otchal,3,0.00041248453183005636
1,otcham,3,0.00041248453183005636
1,otchar,3,0.00041248453183005636
1,otcheor,3,0.00041248453183005636
1,pchocthy,3,0.00041248453183005636
1,pchodaiin,3,0.00041248453183005636
1,qockhey,3,0.00041248453183005636
1,qodar,3,0.00041248453183005636
1,qokam,3,0.00041248453183005636
1,qokar,3,0.00041248453183005636
1,qokod,3,0.00041248453183005636
1,qokody,3,0.00041248453183005636
