locator,folio_id,currier_language,reason
"f70v2.30,&Lz;H",f70v2,,Currier label is blank
"f70v2.31,&Lz;H",f70v2,,Currier label is blank
"f70v2.22,@Lz;H",f70v2,,Currier label is blank
"f70v2.32,@Cc;H",f70v2,,Currier label is blank
"f70v2.33,@Lz;H",f70v2,,Currier label is blank
"f70v1.1,@Cc;H",f70v1,,Currier label is blank
"f70v1.2,@Lz;H",f70v1,,Currier label is blank
"f70v1.3,&Lz;H",f70v1,,Currier label is blank
"f70v1.4,&Lz;H",f70v1,,Currier label is blank
"f70v1.5,&Lz;H",f70v1,,Currier label is blank
"f70v1.6,&Lz;H",f70v1,,Currier label is blank
"f70v1.7,&Lz;H",f70v1,,Currier label is blank
"f70v1.8,&Lz;H",f70v1,,Currier label is blank
"f70v1.9,&Lz;H",f70v1,,Currier label is blank
"f70v1.10,&Lz;H",f70v1,,Currier label is blank
"f70v1.11,&Lz;H",f70v1,,Currier label is blank
"f70v1.12,@Cc;H",f70v1,,Currier label is blank
"f70v1.13,@Lz;H",f70v1,,Currier label is blank
"f70v1.14,&Lz;H",f70v1,,Currier label is blank
"f70v1.15,&Lz;H",f70v1,,Currier label is blank
"f70v1.16,&Lz;H",f70v1,,Currier label is blank
"f70v1.17,&Lz;H",f70v1,,Currier label is blank
"f71r.1,@Cc;H",f71r,,Currier label is blank
"f71r.2,@Lz;H",f71r,,Currier label is blank
"f71r.3,&Lz;H",f71r,,Currier label is blank
"f71r.4,&Lz;H",f71r,,Currier label is blank
"f71r.5,&Lz;H",f71r,,Currier label is blank
"f71r.6,&Lz;H",f71r,,Currier label is blank
"f71r.7,&Lz;H",f71r,,Currier label is blank
"f71r.8,&Lz;H",f71r,,Currier label is blank
"f71r.9,&Lz;H",f71r,,Currier label is blank
"f71r.10,&Lz;H",f71r,,Currier label is blank
"f71r.11,&Lz;H",f71r,,Currier label is blank
"f71r.12,@Cc;H",f71r,,Currier label is blank
"f71r.13,@Lz;H",f71r,,Currier label is blank
"f71r.14,&Lz;H",f71r,,Currier label is blank
"f71r.15,&Lz;H",f71r,,Currier label is blank
"f71r.16,&Lz;H",f71r,,Currier label is blank
"f71r.17,&Lz;H",f71r,,Currier label is blank
"f71r.18,@Cc;H",f71r,,Currier label is blank
"f71v.1,@Cc;H",f71v,,Currier label is blank
"f71v.2,@Lz;H",f71v,,Currier label is blank
"f71v.3,&Lz;H",f71v,,Currier label is blank
"f71v.4,&Lz;H",f71v,,Currier label is blank
"f71v.5,&Lz;H",f71v,,Currier label is blank
"f71v.6,&Lz;H",f71v,,Currier label is blank
"f71v.7,&Lz;H",f71v,,Currier label is blank
"f71v.8,&Lz;H",f71v,,Currier label is blank
