token,position_class,position_count,overall_count,position_share,overall_share,overrepresentation_ratio
chees,line_medial,31,32,0.0011266172408780346,0.000862115415701277,1.3068055858409653
oiin,line_medial,31,32,0.0011266172408780346,0.000862115415701277,1.3068055858409653
cho,line_medial,58,60,0.0021078645151911615,0.0016164664044398943,1.3039952512477588
cheal,line_medial,29,30,0.0010539322575955808,0.0008082332022199472,1.3039952512477588
ckhey,line_medial,29,30,0.0010539322575955808,0.0008082332022199472,1.3039952512477588
cheey,line_medial,166,173,0.006032853612443669,0.004660811466135029,1.2943783837380585
opchedy,line_medial,47,49,0.0017080971071376653,0.0013201142302925804,1.2939009882190993
cheeky,line_medial,23,24,0.0008358773077482192,0.0006465865617759578,1.2927539128749332
sheey,line_medial,135,141,0.004906236371565635,0.0037986960504337516,1.2915580258139945
chear,line_medial,45,47,0.0016354121238552116,0.0012662320168112507,1.2915580258139945
kedy,line_medial,42,44,0.0015263846489315307,0.0011854086965892559,1.287644213614558
ched,line_medial,21,22,0.0007631923244657653,0.0005927043482946279,1.287644213614558
ckhol,line_medial,20,21,0.0007268498328245384,0.0005657632415539631,1.2847243854657722
aiiin,line_medial,39,41,0.00141735717400785,0.001104585376367261,1.2831576484103264
chdar,line_medial,19,20,0.0006905073411833116,0.0005388221348132981,1.2815125745021079
shecthy,line_medial,19,20,0.0006905073411833116,0.0005388221348132981,1.2815125745021079
teey,line_medial,19,20,0.0006905073411833116,0.0005388221348132981,1.2815125745021079
cheedy,line_medial,56,59,0.002035179531908708,0.0015895252976992295,1.2803693875489393
otey,line_medial,54,57,0.0019624945486262538,0.0015356430842178997,1.2779626781738471
chedain,line_medial,18,19,0.0006541648495420846,0.0005118810280726332,1.2779626781738471
keol,line_medial,18,19,0.0006541648495420846,0.0005118810280726332,1.2779626781738471
olkar,line_medial,18,19,0.0006541648495420846,0.0005118810280726332,1.2779626781738471
sheal,line_medial,18,19,0.0006541648495420846,0.0005118810280726332,1.2779626781738471
air,line_medial,69,73,0.0025076319232446576,0.001966700792068538,1.275044955164318
