section,token,section_count,overall_count,section_share,overall_share,overrepresentation_ratio
biological,sain,29,68,0.004191962995085285,0.0017910290515447626,2.340533221094162
biological,checkhy,20,47,0.0028910089621277824,0.0012379171385677036,2.335381643938415
biological,cheedy,25,59,0.003613761202659728,0.0015539810888403087,2.325485959006473
biological,qotal,25,59,0.003613761202659728,0.0015539810888403087,2.325485959006473
biological,shcthy,13,31,0.0018791558253830587,0.00081649853820423,2.3014809426554383
biological,chedy,210,501,0.030355594102341718,0.013195669923881265,2.300420840885445
biological,cheeky,10,24,0.0014455044810638912,0.0006321279005452104,2.286727859689698
biological,qoky,61,147,0.008817577334489736,0.003871783390839413,2.277394276588924
biological,olkeedy,17,42,0.0024573576178086153,0.001106223825954118,2.2213927779842786
biological,qokey,43,107,0.006215669268574733,0.0028182368899307294,2.2055169637381016
biological,ldy,10,25,0.0014455044810638912,0.0006584665630679274,2.1952587453021106
biological,oldy,11,28,0.0015900549291702805,0.0007374825506360788,2.1560576962788582
biological,qotain,25,64,0.003613761202659728,0.001685674401453894,2.1438073684590924
biological,okedy,46,118,0.0066493206128939,0.0031079621776806173,2.139447082285955
biological,sor,22,57,0.003180109858340561,0.0015013037637948744,2.1182321226599314
biological,sal,21,55,0.003035559410234172,0.0014486264387494404,2.0954742568792875
biological,okeedy,39,105,0.005637467476149176,0.002765559564885295,2.0384545492091024
biological,kain,17,48,0.0024573576178086153,0.0012642558010904207,1.9437186807362437
biological,shey,99,283,0.014310494362532523,0.007453841493928939,1.9198817648843542
biological,otedy,54,155,0.007805724197745013,0.00408249269102115,1.9119995523599025
biological,keedy,18,53,0.0026019080659150044,0.0013959491137040061,1.863898934690471
biological,qokaiin,88,262,0.012720439433362244,0.006900729580951879,1.8433470380399402
biological,qoty,29,87,0.004191962995085285,0.0022914636394763873,1.8293822877517587
biological,tchedy,11,33,0.0015900549291702805,0.0008691758632496642,1.8293822877517587
biological,ykeedy,10,30,0.0014455044810638912,0.0007901598756815129,1.8293822877517585
biological,qokar,49,152,0.007082971957213067,0.004003476703452999,1.769205238812556
biological,okain,46,144,0.0066493206128939,0.0037927674032712617,1.7531580257621022
biological,ches,11,36,0.0015900549291702805,0.0009481918508178154,1.6769337637724455
biological,opchedy,15,50,0.002168256721595837,0.0013169331261358547,1.6464440589765827
biological,chckhy,41,140,0.005926568372361955,0.0036874127531803936,1.6072430099533308
biological,chcthy,23,79,0.00332466030644695,0.0020807543392946507,1.5978149095553333
biological,dol,34,117,0.004914715235617231,0.0030816235151579,1.5948460970143539
biological,qokeey,89,308,0.012864989881468633,0.008112308056996866,1.5858606195770115
biological,qokchdy,16,56,0.0023128071697022263,0.0014749651012721575,1.5680419609300789
biological,saiin,41,144,0.005926568372361955,0.0037927674032712617,1.5625973707879608
biological,chey,94,344,0.013587742122000578,0.00906049990781468,1.4996680382151046
biological,dal,68,253,0.009829430471234461,0.006663681618247426,1.4750750462504298
biological,qokol,28,105,0.004047412546978896,0.002765559564885295,1.463505830201407
biological,otey,15,57,0.002168256721595837,0.0015013037637948744,1.444249174540862
biological,otain,25,96,0.003613761202659728,0.0025285116021808414,1.4292049123060613
biological,lor,11,43,0.0015900549291702805,0.001132562488476835,1.4039445464141405
biological,sheol,29,114,0.004191962995085285,0.003002607527589749,1.3961075353895
biological,sheey,36,144,0.005203816131830009,0.0037927674032712617,1.3720367158138191
biological,oteedy,24,100,0.003469210754553339,0.0026338662522717095,1.3171552471812662
biological,cheey,40,174,0.005782017924255565,0.004582927278952775,1.2616429570701784
biological,tol,11,48,0.0015900549291702805,0.0012642558010904207,1.257700322829334
biological,dain,47,211,0.006793871061000289,0.005557457792293307,1.2224782112464359
biological,qotar,14,63,0.002023706273489448,0.0016593357389311772,1.2195881918345057
biological,dar,69,319,0.00997398091934085,0.008402033344746753,1.187091327788759
biological,sheor,11,51,0.0015900549291702805,0.0013432717886585719,1.183717950898197
biological,sar,18,84,0.0026019080659150044,0.002212447651908236,1.1760314706975592
biological,raiin,16,75,0.0023128071697022263,0.0019753996892037822,1.1708046641611256
biological,r,19,99,0.0027464585140213934,0.0026075275897489924,1.0532807111298006
biological,dy,52,271,0.007516623301532235,0.007137777543656333,1.0530761508829312
biological,okey,12,64,0.0017346053772766695,0.001685674401453894,1.0290275368603643
biological,ain,17,92,0.0024573576178086153,0.002423156952089973,1.0141140942971707
biological,oty,21,115,0.003035559410234172,0.003028946190112466,1.0021833402466158
biological,okal,25,138,0.003613761202659728,0.0036347354281349594,0.9942295042129122
biological,otar,25,141,0.003613761202659728,0.0037137514157031108,0.9730756849743396
biological,qotaiin,14,79,0.002023706273489448,0.0020807543392946507,0.9725829884249856
biological,or,65,367,0.009395779126915294,0.009666289145837174,0.9720151120206894
biological,cheol,30,173,0.004336513443191674,0.0045565886164300575,0.9517017681945565
biological,okar,22,129,0.003180109858340561,0.0033976874654305053,0.9359630309427603
biological,l,10,59,0.0014455044810638912,0.0015539810888403087,0.9301943836025891
