section,token,section_share,overall_share
astronomical,qokcheor,0.001176470588235294,5.267732504543419e-05
astronomical,qokchy,0.001176470588235294,0.0018173677140674797
astronomical,qokeechy,0.001176470588235294,0.0001580319751363026
astronomical,qokeeedy,0.001176470588235294,0.0001316933126135855
astronomical,qokeeody,0.001176470588235294,0.00034240261279532225
astronomical,qokeey,0.004705882352941176,0.008112308056996866
astronomical,qokeochy,0.001176470588235294,5.267732504543419e-05
astronomical,qokeol,0.001176470588235294,0.001369610451181289
astronomical,qokey,0.001176470588235294,0.0028182368899307294
astronomical,qokiiiody,0.001176470588235294,2.6338662522717095e-05
astronomical,qokoaiin,0.001176470588235294,2.6338662522717095e-05
astronomical,qokol,0.001176470588235294,0.002765559564885295
astronomical,qokolchey,0.001176470588235294,2.6338662522717095e-05
astronomical,qokool,0.001176470588235294,2.6338662522717095e-05
astronomical,qool,0.001176470588235294,0.0001316933126135855
astronomical,qoteeody,0.001176470588235294,0.0001580319751363026
