token,position_class,position_count,overall_count,position_share,overall_share,overrepresentation_ratio
chees,line_medial,32,33,0.0011281508901815618,0.0008691758632496642,1.2979546923491927
shcthy,line_medial,30,31,0.0010576414595452142,0.00081649853820423,1.2953378482113918
cheal,line_medial,29,30,0.0010223867442270404,0.0007901598756815129,1.2938985839356014
sheedy,line_medial,81,84,0.0028556319407720783,0.002212447651908236,1.290711641610637
chl,line_medial,25,26,0.0008813678829543451,0.0006848052255906445,1.2870344004664471
opchedy,line_medial,48,50,0.0016922263352723427,0.0013169331261358547,1.2849751454257008
cheeky,line_medial,23,24,0.0008108584523179975,0.0006321279005452104,1.2827442857982254
cho,line_medial,66,69,0.002326811210999471,0.0018173677140674797,1.2803194383770569
kedy,line_medial,42,44,0.0014806980433632998,0.0011589011509995522,1.2776741502812365
cheey,line_medial,166,174,0.005852282742816852,0.004582927278952775,1.2769748212444105
sheey,line_medial,137,144,0.004829895998589811,0.0037927674032712617,1.2734490373504124
aiiin,line_medial,39,41,0.0013749338974087784,0.001079885163431401,1.2732223239736362
chdar,line_medial,19,20,0.0006698395910453023,0.000526773250454342,1.2715899876608496
shecthy,line_medial,19,20,0.0006698395910453023,0.000526773250454342,1.2715899876608496
teey,line_medial,19,20,0.0006698395910453023,0.000526773250454342,1.2715899876608496
cheedy,line_medial,56,59,0.001974264057817733,0.0015539810888403087,1.2704556522570487
otey,line_medial,54,57,0.0019037546271813855,0.0015013037637948744,1.268067577722731
chedain,line_medial,18,19,0.0006345848757271285,0.0005004345879316248,1.2680675777227308
chs,line_medial,18,19,0.0006345848757271285,0.0005004345879316248,1.2680675777227308
olkar,line_medial,18,19,0.0006345848757271285,0.0005004345879316248,1.2680675777227308
qockhy,line_medial,18,19,0.0006345848757271285,0.0005004345879316248,1.2680675777227308
sheal,line_medial,18,19,0.0006345848757271285,0.0005004345879316248,1.2680675777227308
air,line_medial,70,74,0.0024678300722721664,0.001949061026681065,1.266163572350775
ches,line_medial,34,36,0.0011986603208179094,0.0009481918508178154,1.264153788902599
sheky,line_medial,34,36,0.0011986603208179094,0.0009481918508178154,1.264153788902599
chear,line_medial,48,51,0.0016922263352723427,0.0013432717886585719,1.2597795543389223
qokair,line_medial,16,17,0.0005640754450907809,0.00044775726288619064,1.2597795543389223
sheos,line_medial,16,17,0.0005640754450907809,0.00044775726288619064,1.2597795543389223
sheody,line_medial,47,50,0.0016569716199541689,0.0013169331261358547,1.2582048298959987
cheos,line_medial,31,33,0.001092896174863388,0.0008691758632496642,1.2573936082132804
kain,line_medial,45,48,0.0015864621893178213,0.0012642558010904207,1.2548585404547858
ckhey,line_medial,30,32,0.0010576414595452142,0.000842837200726947,1.2548585404547858
lkchedy,line_medial,15,16,0.0005288207297726071,0.0004214186003634735,1.2548585404547858
ty,line_medial,15,16,0.0005288207297726071,0.0004214186003634735,1.2548585404547858
chol,line_medial,371,396,0.013079499383042483,0.01043011035899597,1.2540135178686211
shedy,line_medial,400,427,0.014101886127269522,0.0112466088972002,1.2538789475270304
