token,overall_share,line_initial_share,line_medial_share,line_final_share,single_token_line_share
alg,5.267732504543419e-05,0.0,0.0,0.0004550625711035267,0.0
alkaiin,0.0001316933126135855,0.0,0.00014101886127269522,0.00022753128555176336,0.0
alkain,0.0001843706376590197,0.0,0.00021152829190904283,0.00022753128555176336,0.0
alkair,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alkal,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
alkam,0.0001580319751363026,0.0,0.0,0.0013651877133105802,0.0
alkan,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
alkar,0.00010535465009086838,0.0,0.00014101886127269522,0.0,0.0
alkchdy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alkeain,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alkedy,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
alkeear,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alkeedy,0.00010535465009086838,0.0,7.050943063634761e-05,0.0004550625711035267,0.0
alkeeol,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alkeey,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alkey,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
alkol,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alky,7.90159875681513e-05,0.0,0.0,0.0006825938566552901,0.0
allkeam,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
ally,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alo,7.90159875681513e-05,0.0,0.00010576414595452142,0.0,0.0
aloal,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
alod,5.267732504543419e-05,0.0,0.0,0.0004550625711035267,0.0
alodam,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
alodar,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
alody,0.0001580319751363026,0.0,0.00017627357659086903,0.00022753128555176336,0.0
aloees,5.267732504543419e-05,0.0,7.050943063634761e-05,0.0,0.0
alog,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aloiiin,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
aloiin,5.267732504543419e-05,0.0,3.5254715318173806e-05,0.00022753128555176336,0.0
alol,0.00023704796270445386,0.0,0.00024678300722721664,0.0004550625711035267,0.0
alold,2.6338662522717095e-05,0.0,0.0,0.00022753128555176336,0.0
aloldy,2.6338662522717095e-05,0.0,3.5254715318173806e-05,0.0,0.0
